File Path,Used In Section,HTML Element,Decorative?,Current Alt Text,Suggested Alt Text,Status,Notes
assets/sj-logo.png,Brand (top-left of every page),"<a class=brand><img>",No,SJ Design Studio,SJ Design Studio,APPROVED,"Logo. Should describe the brand, not the visual."
assets/hero-brain.png,Hero (DEPRECATED — replaced by Spline 3D scene),(not currently in DOM),N/A,(was empty),N/A — file kept as fallback only,REMOVED-FROM-DOM,"File still exists in /assets but no longer referenced in index.html. Can be deleted if Spline scene proves stable."
assets/ai+human.jpg,Works → Samsung Global Content,"<figure class=work__media--diagram><img>",Yes (decorative diagram),(empty),(leave empty + add aria-hidden),REVIEW,"Diagram showing English Content → 45 Languages → 80 Sites flow. The text 'AI + Human' and 'Advanced Automation' are visual annotations only. Suggest keeping as decorative since the case body explains the same concept in text."
assets/work-samsung-global-en.png,Works → Samsung Global Content,"<figure class=work__media--pair><img>",No,(empty),"Samsung Galaxy Z Flip5 and Fold5 product page on tablet, English version",REVIEW,"Tablet mockup showing Samsung product landing page in English. Important for context."
assets/work-samsung-global-ar.png,Works → Samsung Global Content,"<figure class=work__media--pair><img>",No,(empty),"The same Samsung product page localized to Arabic, demonstrating the multilingual rollout",REVIEW,"Arabic version of the tablet mockup. Pairs with the English one to show the localization concept."
assets/work-decision-tree.png,Works → Automated Decision Tree Engine,"<figure class=work__media><img>",No,(empty),"Decision tree engine UI on a laptop screen, showing branching logic flows",REVIEW,"Laptop screenshot. Critical for understanding the case study."
assets/work-samsung-simulator.png,Works → Interactive Samsung Simulator,"<figure class=work__media><img>",No,(empty),"Samsung TV simulator running on a laptop, with chat support interface alongside",REVIEW,"Laptop showing the interactive simulator product."
assets/work-lg-sks.png,Works → LG SKS Kitchen (Showroom Solution),"<figure class=work__media><img>",No,(empty),"LG SKS Kitchen showroom display kiosk with 'Find your vision' interactive interface",REVIEW,"Photo of the in-trade-show kiosk. Strong visual evidence of the deliverable."
assets/work-pm.png,Works → The Project Manager (Operations Intelligence),"<figure class=work__media><img>",No,(empty),"Operations intelligence dashboard on tablet, showing Slack-integrated task pipeline and project status feeds",REVIEW,"Dashboard mockup. Conveys the autonomous PM tool's interface."
assets/paper-plane.png,Connect → Send icon below email,"<a class=connect__send><img>",Yes (decorative icon),(empty),(leave empty + keep aria-hidden),APPROVED,"Decorative paper plane icon. The mailto link's aria-label ('Send email to kevin@sjdesignstudio.com') handles screen reader context."
assets/circle-yellow.svg,(NOT USED — replaced by pure CSS),(not in DOM),N/A,N/A,N/A — can be deleted,DEPRECATED,"Was used for the case dot indicators but replaced with CSS-only implementation. File can be removed."
(Spline canvas),Hero (3D scene),"<canvas id=hero-3d>",Yes (decorative),(N/A — canvas tag),N/A — wrapper has aria-hidden,APPROVED,"The canvas element is decorative. Parent <div class=hero__visual> already has aria-hidden=true. No alt needed."
(OG share image),Social previews (not in DOM),"<meta property=og:image>",No,(not yet created),"SJ Design Studio — turning expertise into scalable systems",TODO-DESIGN,"Designer needs to create a 1200x630 png/jpg for social previews. Save as /assets/og-image.png."
